cube/weight,arm/velocity_ratio,arm/acceleration_ratio,belt/speed,dobot/operation,dobot/color,dobot/moving_arm,dobot/moving_belt,dobot/operation,dobot/suction,meross/sample_timestamp,meross/power,meross/current,meross/voltage
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,,,,
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:43.460973,16.329,0.157,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:44.149992,16.329,0.157,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:45.529982,16.557,0.161,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:46.214972,16.937,0.161,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:46.902980,16.861,0.161,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:48.280971,16.804,0.161,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:48.968979,16.804,0.161,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:50.350979,16.728,0.161,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:51.040095,16.595,0.161,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:52.435083,16.481,0.158,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:53.121666,16.5,0.158,231.2
1.2,100,100,55,homing,,,,homing,,2023-12-02 14:31:54.501656,16.576,0.158,231.2
1.2,100,100,55,moving_belt,nothing,false,true,moving_belt,,2023-12-02 14:31:55.194665,16.576,0.158,231.2
1.2,100,100,55,moving_belt,nothing,false,true,moving_belt,,2023-12-02 14:31:55.887656,17.411,0.164,231.2
1.2,100,100,55,moving_belt,nothing,false,true,moving_belt,,2023-12-02 14:31:57.264664,16.956,0.164,231.2
1.2,100,100,55,moving_belt,nothing,false,true,moving_belt,,2023-12-02 14:31:57.954654,16.899,0.164,231.2
1.2,100,100,55,moving_belt,nothing,false,true,moving_belt,,2023-12-02 14:31:59.335663,16.595,0.159,231.2
1.2,100,100,55,go_to_pick_down,nothing,true,false,go_to_pick_down,,2023-12-02 14:32:00.024662,16.595,0.159,231.2
1.2,100,100,55,go_to_pick_up_from_pick_down,nothing,true,false,go_to_pick_up_from_pick_down,true,2023-12-02 14:32:01.416619,17.981,0.158,231.2
1.2,100,100,55,go_to_color_detect_down,nothing,true,false,go_to_color_detect_down,true,2023-12-02 14:32:02.106619,17.981,0.158,231.2
1.2,100,100,55,go_to_color_detect_up,nothing,true,false,go_to_color_detect_up,false,2023-12-02 14:32:03.045609,23.184,0.219,231.2
1.2,100,100,55,detecting_color,nothing,false,false,detecting_color,false,2023-12-02 14:32:04.433609,18.361,0.219,231.2
1.2,100,100,55,detecting_color,nothing,false,false,detecting_color,false,2023-12-02 14:32:05.125610,18.361,0.163,231.2
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-02 14:32:06.509753,16.31,0.163,231.2
1.2,100,100,55,go_to_red_up,red,true,false,go_to_red_up,true,2023-12-02 14:32:07.454875,16.519,0.166,231.2
1.2,100,100,55,go_to_red_down,red,true,false,go_to_red_down,true,2023-12-02 14:32:08.151882,24.551,0.166,231.2
1.2,100,100,55,go_to_red_up,red,true,false,go_to_red_up,false,2023-12-02 14:32:09.538881,22.842,0.21,231.2
1.2,100,100,55,go_to_pick_up_from_red,red,true,false,go_to_pick_up_from_red,false,2023-12-02 14:32:10.224872,17.867,0.21,231.2
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:32:10.912880,17.867,0.21,231.2
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:32:12.294880,17.374,0.167,231.2
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:32:12.998878,16.576,0.167,231.2
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:32:14.379194,16.443,0.159,231.2
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:32:15.067400,16.443,0.159,231.2
1.2,100,100,55,go_to_pick_down,red,true,false,go_to_pick_down,false,2023-12-02 14:32:16.444990,16.481,0.159,231.2
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-02 14:32:17.131990,16.481,0.159,231.2
1.2,100,100,55,go_to_color_detect_down,red,true,false,go_to_color_detect_down,true,2023-12-02 14:32:18.509168,23.298,0.222,231.2
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,false,2023-12-02 14:32:19.200176,22.329,0.222,231.2
1.2,100,100,55,detecting_color,red,false,false,detecting_color,false,2023-12-02 14:32:19.888769,22.329,0.194,231.2
1.2,100,100,55,go_to_color_detect_down,green,true,false,go_to_color_detect_down,false,2023-12-02 14:32:21.393363,16.215,0.194,231.2
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,2023-12-02 14:32:22.080964,16.215,0.157,231.2
1.2,100,100,55,go_to_green_up,green,true,false,go_to_green_up,true,2023-12-02 14:32:23.467536,23.089,0.157,231.2
1.2,100,100,55,go_to_green_up,green,true,false,go_to_green_up,false,2023-12-02 14:32:24.161117,23.089,0.217,231.2
1.2,100,100,55,go_to_pick_up_from_green,green,true,false,go_to_pick_up_from_green,false,2023-12-02 14:32:24.849699,22.709,0.217,231.2
1.2,100,100,55,go_to_pick_up_from_green,green,true,false,go_to_pick_up_from_green,false,2023-12-02 14:32:26.511297,17.449,0.163,231.2
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:32:27.200830,17.449,0.163,231.2
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:32:27.926982,16.842,0.163,231.2
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:32:29.304981,16.405,0.158,231.2
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:32:29.995595,16.405,0.158,231.2
1.2,100,100,55,go_to_pick_down,green,true,false,go_to_pick_down,false,2023-12-02 14:32:31.397234,16.519,0.158,231.2
1.2,100,100,55,go_to_pick_up_from_pick_down,green,true,false,go_to_pick_up_from_pick_down,true,2023-12-02 14:32:32.084830,16.519,0.158,231.2
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,2023-12-02 14:32:33.472549,22.747,0.174,235.0
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,false,2023-12-02 14:32:34.166548,22.747,0.174,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:32:35.548287,18.646,0.203,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:32:36.237296,18.646,0.203,235.0
1.2,100,100,55,go_to_color_detect_down,blue,true,false,go_to_color_detect_down,false,2023-12-02 14:32:36.935287,16.158,0.154,235.0
1.2,100,100,55,go_to_blue_up,blue,true,false,go_to_blue_up,true,2023-12-02 14:32:38.310238,16.31,0.154,235.0
1.2,100,100,55,go_to_blue_down,blue,true,false,go_to_blue_down,true,2023-12-02 14:32:38.999238,24.551,0.211,235.0
1.2,100,100,55,go_to_blue_up,blue,true,false,go_to_blue_up,false,2023-12-02 14:32:40.381239,22.291,0.211,235.0
1.2,100,100,55,go_to_pick_up_from_blue,blue,true,false,go_to_pick_up_from_blue,false,2023-12-02 14:32:41.069239,22.291,0.177,235.0
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:32:42.457239,17.734,0.177,231.2
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:32:43.153231,17.393,0.157,231.2
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:32:44.560821,16.88,0.157,233.1
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:32:45.255408,16.519,0.157,233.1
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:32:45.948992,16.519,0.157,233.1
1.2,100,100,55,go_to_pick_down,blue,true,false,go_to_pick_down,false,2023-12-02 14:32:47.551641,16.652,0.157,233.1
1.2,100,100,55,go_to_pick_up_from_pick_down,blue,true,false,go_to_pick_up_from_pick_down,true,2023-12-02 14:32:47.551641,16.652,0.157,233.1
1.2,100,100,55,go_to_color_detect_up,blue,true,false,go_to_color_detect_up,true,2023-12-02 14:32:49.499640,23.127,0.157,231.2
1.2,100,100,55,go_to_color_detect_up,blue,true,false,go_to_color_detect_up,false,2023-12-02 14:32:50.205767,23.127,0.212,231.2
1.2,100,100,55,detecting_color,blue,false,false,detecting_color,false,2023-12-02 14:32:51.587766,17.715,0.212,235.0
1.2,100,100,55,detecting_color,blue,false,false,detecting_color,false,2023-12-02 14:32:52.277766,17.715,0.155,235.0
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-02 14:32:52.974766,16.082,0.155,235.0
1.2,100,100,55,go_to_red_up,red,true,false,go_to_red_up,true,2023-12-02 14:32:54.352592,17.013,0.198,235.0
1.2,100,100,55,go_to_red_down,red,true,false,go_to_red_down,true,2023-12-02 14:32:55.042538,23.203,0.198,235.0
1.2,100,100,55,go_to_red_up,red,true,false,go_to_red_up,false,2023-12-02 14:32:56.431528,22.804,0.206,235.0
1.2,100,100,55,go_to_pick_up_from_red,red,true,false,go_to_pick_up_from_red,false,2023-12-02 14:32:57.130048,21.228,0.206,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:32:58.510626,16.823,0.162,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:32:59.201621,16.652,0.162,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:00.585752,16.538,0.156,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:01.272752,16.462,0.156,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:01.964756,16.462,0.156,235.0
1.2,100,100,55,go_to_pick_down,red,true,false,go_to_pick_down,false,2023-12-02 14:33:03.361304,16.557,0.155,235.0
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-02 14:33:04.570052,16.519,0.155,235.0
1.2,100,100,55,go_to_color_detect_down,red,true,false,go_to_color_detect_down,true,2023-12-02 14:33:05.258755,24.038,0.21,235.0
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,false,2023-12-02 14:33:05.947796,23.222,0.21,235.0
1.2,100,100,55,detecting_color,red,false,false,detecting_color,false,2023-12-02 14:33:07.324331,21.874,0.168,235.0
1.2,100,100,55,go_to_color_detect_down,green,true,false,go_to_color_detect_down,false,2023-12-02 14:33:08.011319,16.595,0.168,235.0
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,2023-12-02 14:33:09.388084,16.196,0.156,235.0
1.2,100,100,55,go_to_green_up,green,true,false,go_to_green_up,true,2023-12-02 14:33:10.079095,23.716,0.156,233.1
1.2,100,100,55,go_to_green_up,green,true,false,go_to_green_up,false,2023-12-02 14:33:11.460103,23.146,0.206,233.1
1.2,100,100,55,go_to_pick_up_from_green,green,true,false,go_to_pick_up_from_green,false,2023-12-02 14:33:12.149698,22.576,0.206,233.1
1.2,100,100,55,go_to_pick_up_from_green,green,true,false,go_to_pick_up_from_green,false,2023-12-02 14:33:13.528792,17.981,0.164,233.1
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:33:14.241697,17.241,0.164,233.1
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:33:15.625706,16.462,0.157,235.0
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:33:16.314695,16.5,0.157,235.0
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:33:17.007695,16.5,0.157,235.0
1.2,100,100,55,go_to_pick_down,green,true,false,go_to_pick_down,false,2023-12-02 14:33:18.385261,16.633,0.156,235.0
1.2,100,100,55,go_to_pick_up_from_pick_down,green,true,false,go_to_pick_up_from_pick_down,true,2023-12-02 14:33:19.074260,16.576,0.156,235.0
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,2023-12-02 14:33:20.308260,23.526,0.156,235.0
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,false,2023-12-02 14:33:20.998366,23.488,0.219,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:33:22.411359,22.14,0.174,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:33:23.105368,17.601,0.174,235.0
1.2,100,100,55,go_to_color_detect_up,blue,true,false,go_to_color_detect_up,true,2023-12-02 14:33:24.486518,16.253,0.154,235.0
1.2,100,100,55,go_to_blue_up,blue,true,false,go_to_blue_up,true,2023-12-02 14:33:25.181517,18.779,0.154,235.0
1.2,100,100,55,go_to_blue_down,blue,true,false,go_to_blue_down,true,2023-12-02 14:33:26.559507,23.013,0.216,235.0
1.2,100,100,55,go_to_blue_up,blue,true,false,go_to_blue_up,false,2023-12-02 14:33:27.260516,23.355,0.216,235.0
1.2,100,100,55,go_to_pick_up_from_blue,blue,true,false,go_to_pick_up_from_blue,false,2023-12-02 14:33:28.633515,21.95,0.16,235.0
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:33:29.320507,16.975,0.16,235.0
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:33:30.022514,16.861,0.16,233.1
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:33:31.426514,16.557,0.156,233.1
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:33:32.115505,16.557,0.156,235.0
1.2,100,100,55,moving_belt,blue,false,true,moving_belt,false,2023-12-02 14:33:33.546513,16.481,0.156,235.0
1.2,100,100,55,go_to_pick_down,blue,true,false,go_to_pick_down,false,2023-12-02 14:33:34.252513,16.481,0.156,235.0
1.2,100,100,55,go_to_color_detect_up,blue,true,false,go_to_color_detect_up,true,2023-12-02 14:33:34.959023,16.481,0.156,235.0
1.2,100,100,55,go_to_color_detect_down,blue,true,false,go_to_color_detect_down,true,2023-12-02 14:33:36.346013,23.772,0.156,233.1
1.2,100,100,55,go_to_color_detect_up,blue,true,false,go_to_color_detect_up,false,2023-12-02 14:33:37.039021,23.355,0.156,233.1
1.2,100,100,55,detecting_color,blue,false,false,detecting_color,false,2023-12-02 14:33:38.413020,22.083,0.203,233.1
1.2,100,100,55,detecting_color,blue,false,false,detecting_color,false,2023-12-02 14:33:39.114011,17.108,0.203,233.1
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-02 14:33:40.490019,16.196,0.153,233.1
1.2,100,100,55,go_to_red_up,red,true,false,go_to_red_up,true,2023-12-02 14:33:41.186019,20.393,0.153,233.1
1.2,100,100,55,go_to_red_down,red,true,false,go_to_red_down,true,2023-12-02 14:33:42.568019,22.576,0.217,233.1
1.2,100,100,55,go_to_red_up,red,true,false,go_to_red_up,false,2023-12-02 14:33:43.265018,22.405,0.217,233.1
1.2,100,100,55,go_to_pick_up_from_red,red,true,false,go_to_pick_up_from_red,false,2023-12-02 14:33:44.650222,19.063,0.178,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:45.340723,17.26,0.178,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:46.149713,16.69,0.158,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:47.624722,16.386,0.158,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:48.313712,16.386,0.158,235.0
1.2,100,100,55,moving_belt,red,false,true,moving_belt,false,2023-12-02 14:33:48.998721,16.652,0.158,235.0
1.2,100,100,55,go_to_pick_down,red,true,false,go_to_pick_down,false,2023-12-02 14:33:50.374388,16.576,0.156,235.0
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,true,2023-12-02 14:33:51.063549,16.177,0.156,235.0
1.2,100,100,55,go_to_color_detect_down,red,true,false,go_to_color_detect_down,true,2023-12-02 14:33:52.438141,22.728,0.21,235.0
1.2,100,100,55,go_to_color_detect_up,red,true,false,go_to_color_detect_up,false,2023-12-02 14:33:53.127712,22.215,0.21,235.0
1.2,100,100,55,detecting_color,red,false,false,detecting_color,false,2023-12-02 14:33:54.568711,19.177,0.154,235.0
1.2,100,100,55,go_to_color_detect_down,green,true,false,go_to_color_detect_down,false,2023-12-02 14:33:55.259911,15.968,0.154,235.0
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,2023-12-02 14:33:56.640078,16.12,0.154,235.0
1.2,100,100,55,go_to_green_up,green,true,false,go_to_green_up,true,2023-12-02 14:33:57.334079,24.19,0.177,235.0
1.2,100,100,55,go_to_green_down,green,true,false,go_to_green_down,true,2023-12-02 14:33:58.025090,24.19,0.177,235.0
1.2,100,100,55,go_to_pick_up_from_green,green,true,false,go_to_pick_up_from_green,false,2023-12-02 14:33:59.476081,21.817,0.203,235.0
1.2,100,100,55,go_to_pick_up_from_green,green,true,false,go_to_pick_up_from_green,false,2023-12-02 14:34:00.195590,16.671,0.203,235.0
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:34:01.125600,16.671,0.203,235.0
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:34:02.511140,16.5,0.158,235.0
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:34:03.202649,16.519,0.155,235.0
1.2,100,100,55,moving_belt,green,false,true,moving_belt,false,2023-12-02 14:34:03.890648,16.481,0.155,235.0
1.2,100,100,55,go_to_pick_down,green,true,false,go_to_pick_down,false,2023-12-02 14:34:05.167030,16.481,0.155,235.0
1.2,100,100,55,go_to_pick_up_from_pick_down,green,true,false,go_to_pick_up_from_pick_down,true,2023-12-02 14:34:06.552054,16.386,0.158,235.0
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,true,2023-12-02 14:34:07.434056,23.355,0.158,235.0
1.2,100,100,55,go_to_color_detect_up,green,true,false,go_to_color_detect_up,false,2023-12-02 14:34:08.317065,23.545,0.211,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:34:08.317065,23.545,0.211,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:34:09.698086,22.424,0.211,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:34:10.951075,16.291,0.167,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:34:12.490086,16.082,0.153,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:34:13.183084,16.234,0.153,235.0
1.2,100,100,55,detecting_color,green,false,false,detecting_color,false,2023-12-02 14:34:14.564084,16.139,0.153,235.0
1.2,100,100,55,go_to_color_detect_down,none,true,false,go_to_color_detect_down,false,2023-12-02 14:34:15.255073,15.987,0.153,235.0
1.2,100,100,55,go_to_color_detect_up,none,true,false,go_to_color_detect_up,true,2023-12-02 14:34:15.993073,15.987,0.153,235.0
1.2,100,100,55,go_to_drop_up,none,true,false,go_to_drop_up,true,2023-12-02 14:34:17.565148,24.152,0.154,235.0
1.2,100,100,55,go_to_drop_down,none,true,false,go_to_drop_down,true,2023-12-02 14:34:18.487095,23.355,0.154,235.0
1.2,100,100,55,go_to_drop_up,none,false,false,go_to_drop_up,false,2023-12-02 14:34:19.306650,22.975,0.211,235.0
1.2,100,100,55,go_to_drop_up,none,false,false,go_to_drop_up,false,2023-12-02 14:34:19.306650,22.975,0.211,235.0
1.2,100,100,55,go_to_drop_up,none,false,false,go_to_drop_up,false,2023-12-02 14:34:21.513007,16.519,0.156,235.0
